ID	Chemical Name
1	CIDs05319042
2	CIDs00064982
3	CIDs05280794
4	CIDs05281654
5	CIDs05280863
6	CIDs00389001
7	CIDs00158311
8	CIDs00117443
9	CIDs00185034
10	CIDs05319252
11	CIDs05280343
12	CIDs05280442
13	CIDs05281703
14	CIDs00821279
15	CIDs05281605
16	CIDs00156992
17	CIDs44258628
18	CIDs00188308
19	CIDs14135323
20	CIDs00373261
21	CIDs00161271
22	CIDs05322059
23	CIDs05321865
24	CIDs00124211
25	CIDs05320315
26	CIDs05320399
27	CIDs05322078
28	CIDs25721350
29	CIDs00222284
30	CIDs12303645
31	CIDs05281674
32	CIDs00159029
33	CIDs00182232
34	CIDs00072321
35	CIDs07057920
36	CIDs00638072
37	CIDs00033934
38	CIDs00160876
39	CIDs00188316
40	CIDs05365674
41	CIDs05322074
42	CIDs02608119
43	CIDs13889022
44	CIDs00091510
45	CIDs05376313
46	CIDs05319581
47	CIDs00442847
48	CIDs00285342
49	CIDs00441562
50	CIDs05312542
51	CIDs00441965
52	CIDs45479218
53	CIDs00096943
54	CIDs06438572
55	CIDs06325577
56	CIDs00073498
57	CIDs05321541
58	CIDs00004970
59	CIDs05484202
60	CIDs00193148
61	CIDs05282768
62	CIDs05280372
63	CIDs72444876
64	CIDs11438306
65	CIDs00092110
66	CIDs00064959
67	CIDs00091510
68	CIDs00114829
69	CIDs00064971
70	CIDs05320083
71	CIDs05318869
72	CIDs00336327
73	CIDs05317480
74	CIDs00354368
75	CIDs05280378
76	CIDs05280448
77	CIDs00439246
78	CIDs00197678
79	CIDs00480784
80	CIDs00392442
81	CIDs00480859
82	CIDs05318679
83	CIDs10881804
84	CIDs15380912
85	CIDs00637112
86	CIDs05481948
87	CIDs05281619
88	CIDs00442411
89	CIDs00162412
90	CIDs05317768
91	CIDs10542808
92	CIDs05318999
93	CIDs49856081
94	CIDs10090416
95	CIDs05319013
96	CIDs05317478
97	CIDs05317479
98	CIDs42607811
99	CIDs14604077
100	CIDs14604078
101	CIDs14604081
102	CIDs00480787
103	CIDs00503731
104	CIDs05281789
105	CIDs05481234
106	CIDs11267805
107	CIDs00503737
108	CIDs00122851
109	CIDs00195396
110	CIDs05317777
111	CIDs00124052
112	CIDs00124049
113	CIDs00480774
114	CIDs05317652
115	CIDs11558452
116	CIDs11602329
117	CIDs05317300
118	CIDs44257223
119	CIDs23724664
120	CIDs00073205
121	CIDs00928837
122	CIDs00193679
123	CIDs05318585
124	CIDs00003764
125	CIDs00480873
126	CIDs05316900
127	CIDs15228662
128	CIDs05318998
129	CIDs15228663
130	CIDs09927807
131	CIDs05318437
132	CIDs05312521
133	CIDm01666840
134	CIDs25015742
135	CIDs00268208
136	CIDs05460988
137	CIDs00177149
138	CIDs00480780
139	CIDs05481949
140	CIDs15840593
141	CIDs05317765
142	CIDs00636883
143	CIDs13965473
144	CIDs44257530
145	CIDs14769500
146	CIDs05319662?
147	CIDs00457801
148	CIDs00107982
149	CIDs00830726
150	CIDs00441756
151	CIDs05281707
152	CIDs00002353
153	CIDs00160487
154	CIDs00009064
155	CIDs12442999
156	CIDs00010146
157	CIDs00161352
158	CIDs05280537
159	CIDs05280489
160	CIDs00073160
161	CIDs10550610
