Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa00982:Drug metabolism - cytochrome P450	30	6.912442396313365	1.0039139525552298E-20	P35503, P35504, P54855, Q9HAW7, Q4VAU1, Q9HAW9, O75310, Q6UWM9, Q9HAW8, P33261, P22309, Q06278, Q1HBF9, P19224, O60656, P16662, P22310, P10635, O75795, P20813, P10632, P11712, P05177, Q9BY64, P09211, P27338, P36537, P21397, P08684, Q9Y4X1	342	68	6879	8.873839009287925	2.4395109047092084E-18	2.4395109047092084E-18	1.2983519832767358E-17
KEGG_PATHWAY	hsa00983:Drug metabolism - other enzymes	25	5.76036866359447	6.124585643847765E-20	P35503, P35504, P54855, Q9HAW7, P12268, P49915, Q9HAW9, Q4VAU1, O75310, Q6UWM9, Q9HAW8, P22309, Q1HBF9, P19224, P16662, O60656, P22310, P47989, O75795, Q9BY64, P20839, P08236, P36537, P08684, Q9Y4X1	342	46	6879	10.931540808543096	1.488274311455007E-17	7.441371557275035E-18	7.92086602362517E-17
KEGG_PATHWAY	hsa00830:Retinol metabolism	28	6.451612903225806	3.207548447585778E-19	P35503, P35504, P54855, P04798, Q9HAW7, Q4VAU1, Q9HAW9, O75310, Q6UWM9, Q9HAW8, P22309, Q06278, Q1HBF9, P19224, P16662, O60656, P22310, O75795, P20813, P11712, P10632, P05177, Q9BY64, Q9HAY6, P36537, Q16518, P08684, Q9Y4X1	342	64	6879	8.799890350877194	7.79434272763344E-17	2.5981142425444802E-17	4.14829067549004E-16
REACTOME_PATHWAY	R-HSA-156588:R-HSA-156588	16	3.686635944700461	6.941468961722277E-19	P35503, P22310, P35504, P54855, Q9HAW7, O75795, Q9HAW9, O75310, P22309, Q9BY64, P36537, Q1HBF9, P19224, O60656, P16662, Q9Y4X1	368	18	9075	21.92028985507246	4.636901266430481E-16	4.636901266430481E-16	1.040258395681057E-15
KEGG_PATHWAY	hsa05204:Chemical carcinogenesis	30	6.912442396313365	2.169361600844014E-18	Q16696, P27540, P35503, P35504, P54855, P04798, Q9HAW7, Q4VAU1, Q9HAW9, O75310, Q6UWM9, Q9HAW8, P33261, P22309, Q1HBF9, P19224, O60656, P16662, Q9HB55, P22310, P35354, O75795, P10632, P11712, P05177, Q9BY64, P09211, P36537, P08684, Q9Y4X1	342	80	6879	7.542763157894737	5.271548690050953E-16	1.3178871725127383E-16	2.805613897218215E-15
KEGG_PATHWAY	hsa00140:Steroid hormone biosynthesis	26	5.990783410138248	3.731324428386692E-18	P35503, P35504, P54855, P04798, P22680, Q9HAW7, O75310, Q9HAW9, Q6UWM9, Q9HAW8, P14060, P22309, Q1HBF9, P49888, P19224, P16662, O60656, Q9UC51, P22310, O75795, Q9UII3, P05177, Q9BY64, P36537, P08684, Q9Y4X1	342	58	6879	9.016636418632789	9.067118360979662E-16	1.8134236721959325E-16	4.825684969826409E-15
KEGG_PATHWAY	hsa00053:Ascorbate and aldarate metabolism	19	4.377880184331797	6.423821085474339E-18	P35503, P22310, P35504, P54855, O75795, Q9HAW7, Q9HAW9, O75310, Q6UWM9, Q9HAW8, P22309, Q9BY64, Q1HBF9, P36537, P19224, O60656, P16662, Q9Y4X1, P49419	342	27	6879	14.154320987654321	1.5609885237702643E-15	2.6016475396171075E-16	8.307864259991626E-15
KEGG_PATHWAY	hsa05161:Hepatitis B	38	8.755760368663594	2.405914519705541E-17	Q9UDL5, P24385, Q9UHD2, Q9NZD0, P17252, P48736, P01375, Q02750, P14780, O15111, Q9UCR9, Q9UCZ6, O00329, Q5VZI8, P28482, H3BLT4, P01100, Q9UEQ3, P06400, P25963, P27361, P19838, P24941, P99999, P04049, Q96T22, P05412, Q9Y2U7, P42338, P42336, P11802, Q04206, P42574, O60603, P01116, P01111, P40763, Q9UJ65	342	145	6879	5.271264367816092	5.846372282884465E-15	8.351960404120664E-16	3.111545447000982E-14
KEGG_PATHWAY	hsa00040:Pentose and glucuronate interconversions	20	4.6082949308755765	4.1582903292425216E-17	P35503, P22310, P35504, P54855, O75795, Q9HAW7, Q9HAW9, O75310, Q6UWM9, Q9HAW8, P22309, Q9BY64, P08236, Q1HBF9, P36537, P15121, P19224, O60656, P16662, Q9Y4X1	342	33	6879	12.190324295587452	1.0104645500059328E-14	1.263080687507416E-15	5.377875745496704E-14
KEGG_PATHWAY	hsa00860:Porphyrin and chlorophyll metabolism	22	5.0691244239631335	4.311568584430811E-17	P35503, P22310, P54855, P35504, O75795, Q9HAW7, Q9HAW9, O75310, Q6UWM9, Q9HAW8, P09601, P22309, Q9BY64, P30043, P08236, Q1HBF9, P36537, P19224, O60656, P16662, Q9Y4X1, P22830	342	42	6879	10.535923141186299	1.0477111660166872E-14	1.164123517796319E-15	5.576108996574032E-14
KEGG_PATHWAY	hsa04668:TNF signaling pathway	32	7.373271889400922	2.1446277215152647E-16	P02778, P01375, P48736, Q02750, P16581, P53778, P14780, O15111, O00329, P05305, P04141, P28482, Q96BA0, P01100, O15264, P13500, P05362, P35354, P40933, P25963, Q2XNF2, P27361, P19838, Q96T22, P05412, Q9Y2U7, P42338, P08254, P42336, Q04206, P42574, P01584	342	107	6879	6.015412362682406	5.395683899678261E-14	5.440092820663267E-15	2.886579864025407E-13
KEGG_PATHWAY	hsa00590:Arachidonic acid metabolism	25	5.76036866359447	2.260794597403918E-16	O15296, P09917, Q08477, P18054, Q5T7T7, P35354, P22352, Q9UII3, P04054, P20813, P33261, O15496, P10632, P11712, P07203, P59796, O14684, O60760, Q9UNK4, Q9NZK7, P39877, Q9BZM2, P18283, Q5R387, Q9UIU8	342	61	6879	8.243457003163646	5.395683899678261E-14	4.884981308350689E-15	2.886579864025407E-13
KEGG_PATHWAY	hsa00980:Metabolism of xenobiotics by cytochrome P450	27	6.221198156682028	3.217392978129394E-16	Q16696, P35503, P35504, P54855, P04798, Q9HAW7, O75310, Q4VAU1, Q9HAW9, Q6UWM9, Q9HAW8, P22309, Q1HBF9, P19224, P16662, O60656, P22310, P10635, O75795, P20813, P11712, P05177, Q9BY64, P09211, P36537, P08684, Q9Y4X1	342	74	6879	7.3389046941678515	8.093525849517391E-14	6.772360450213455E-15	4.3298697960381105E-13
KEGG_PATHWAY	hsa05215:Prostate cancer	29	6.682027649769585	4.319605714149053E-16	P24385, Q9NZD0, P48736, Q02750, P35222, O15111, P10275, O00329, Q9GZX1, P28482, P42345, P01127, Q9UEQ3, P06400, P49841, P25963, P27361, P19838, Q99801, P24941, P04049, P08069, P42338, P42336, Q9UKM3, Q04206, P01133, P01116, P01111	342	88	6879	6.628488835725678	1.0791367799356522E-13	8.326672684688674E-15	5.773159728050814E-13
KEGG_PATHWAY	hsa05200:Pathways in cancer	60	13.82488479262673	3.900807019224222E-15	P27540, P24385, P48736, P14780, P61073, P11166, Q9UCZ6, Q9GZX1, P01127, P06400, H0Y4K8, P49841, P25963, P35354, P00519, P08069, P05412, Q07817, P09211, Q9UKM3, Q04206, P01133, P55957, Q9UD42, Q9UDL5, P35408, Q9NZD0, P17252, P08581, Q02750, P35222, O15111, P10275, Q9UCR9, O00329, P17301, P28482, H3BLT4, P42345, P01100, Q9UEQ3, Q9P2Y8, P36888, P27361, P19838, P24941, Q99801, P99999, P04049, Q96T22, Q05397, P42338, P08253, P11802, P42336, P42574, P01116, P01111, P40763, P03956	342	393	6879	3.070845051560198	9.442446824436956E-13	6.750155989720952E-14	5.029310301551959E-12
KEGG_PATHWAY	hsa04210:Apoptosis	24	5.529953917050691	4.757170015227323E-15	O14763, Q9NZD0, P25963, P01375, P48736, P19838, P50591, O15111, Q13315, P99999, Q9UCZ6, Q96T22, Q07817, O00329, Q9Y2U7, P42338, P42336, Q04206, P42574, P55957, Q96BA0, Q9UEQ3, Q9UJ65, Q5JUZ7	342	62	6879	7.786078098471986	1.160072038430826E-12	7.738254481637341E-14	6.17284001691587E-12
KEGG_PATHWAY	hsa05164:Influenza A	38	8.755760368663594	1.5922136493359858E-14	Q9UDL5, O14763, P02778, Q9UHD2, P17252, P48736, P01375, Q02750, P53778, P14324, Q9UCR9, O00329, O60674, Q5VZI8, P28482, Q9UEQ3, O15264, Q15653, P49841, P13500, P05362, P25963, P19525, Q2XNF2, P27361, P19838, Q05823, P50591, P99999, P04049, P05412, P42338, O14980, P0DMV8, P42336, Q04206, P05198, P01584	342	174	6879	4.39272030651341	3.8579139882699565E-12	2.41140440948584E-13	2.0528023725319144E-11
KEGG_PATHWAY	hsa04917:Prolactin signaling pathway	24	5.529953917050691	1.4153868210708843E-13	Q9UDL5, P24385, P49841, P48736, Q2XNF2, Q02750, P53778, P27361, P19838, P04049, P11168, O00329, O60674, Q92731, P42338, P42336, P28482, Q04206, P22888, P01116, P01100, O15264, P40763, P01111	342	71	6879	6.799110452186804	3.439748486044891E-11	2.0233814623793478E-12	1.8306467453044206E-10
KEGG_PATHWAY	hsa04660:T cell receptor signaling pathway	28	6.451612903225806	1.513418592499162E-13	P48736, P01375, Q02750, P53778, O15111, O00329, P04141, P22301, P28482, P06241, P01100, O15264, P49841, Q15653, P25963, Q2XNF2, P27361, P19838, P05113, P04049, P60568, P05412, P42338, P42336, P11802, Q04206, P01116, P01111	342	100	6879	5.631929824561403	3.677158577630735E-11	2.042810365310288E-12	1.957101147809226E-10
KEGG_PATHWAY	hsa05212:Pancreatic cancer	23	5.299539170506913	1.7485325153741997E-13	P06400, Q9UDL5, P24385, Q9NZD0, P48736, Q02750, P27361, P19838, O15111, P04049, Q07817, O00329, P42338, P11802, P42336, Q9UKM3, Q9GZX1, Q04206, P28482, P01133, P01116, Q9UEQ3, P40763	342	65	6879	7.11727395411606	4.2491010709966304E-11	2.236322238502453E-12	2.2614132788589814E-10
KEGG_PATHWAY	hsa04068:FoxO signaling pathway	32	7.373271889400922	2.2074074347658674E-13	P24385, Q15831, P48736, Q02750, P53778, P04040, P35568, O15111, Q13315, O00329, P24522, P22301, P28482, Q9GZX1, P06213, O15264, Q96EB6, P27361, Q2XNF2, P24941, P50591, Q93009, P14635, P04049, P08069, P14672, P42338, P42336, P01133, P01116, P01111, P40763	342	134	6879	4.803351662738937	5.363309796280191E-11	2.681632693679603E-12	2.85449441861374E-10
KEGG_PATHWAY	hsa04066:HIF-1 signaling pathway	26	5.990783410138248	3.039010618118475E-12	P27540, P17252, P48736, Q02750, P62753, P09601, P11166, O00329, P05305, P52789, P05121, Q9GZX1, P28482, Q5VZI8, P06213, P42345, P27361, P19838, P08069, P42338, P42336, Q04206, Q14434, P01133, P40763, Q9UD42	342	96	6879	5.447551169590643	7.384802769294652E-10	3.516575919348952E-11	3.930322733936009E-9
KEGG_PATHWAY	hsa05160:Hepatitis C	30	6.912442396313365	6.690829255699322E-12	Q9UDL5, Q9UHD2, Q9NZD0, P48736, P01375, P53778, O15111, Q8WTV0, Q9UCR9, O00329, P28482, Q9GZX1, Q53ZD9, O15264, P49841, P25963, P19525, Q2XNF2, P27361, P19838, Q05823, P04049, P42338, P42336, Q04206, P05198, P01133, P01116, P01111, P40763	342	133	6879	4.537000395726157	1.6258814294900503E-9	7.390366096871048E-11	8.653233685151918E-9
KEGG_PATHWAY	hsa05145:Toxoplasmosis	27	6.221198156682028	1.231027857705824E-11	Q9UDL5, P09917, P01375, P53778, P30405, O15111, O60674, P22301, P28482, Q5VZI8, Q53ZD9, O15264, Q9UEQ3, Q15653, P25963, P27361, Q2XNF2, P19838, P99999, Q07817, Q96T22, P0DMV8, Q04206, P42574, O60603, P40763, Q9UD42	342	110	6879	4.937081339712919	2.991394132401126E-9	1.3006062893339276E-10	1.5920742502117946E-8
KEGG_PATHWAY	hsa05230:Central carbon metabolism in cancer	21	4.838709677419355	1.232472960583292E-11	Q9NTG7, P36888, Q9NZD0, P08581, P48736, Q02750, P27361, Q9NRC7, P11166, P04049, P11168, O00329, P42338, P52789, P42336, Q9GZX1, P28482, P42345, Q96E76, P01116, P01111	342	64	6879	6.599917763157895	2.994901326935917E-9	1.2478751365563312E-10	1.5939405351161895E-8
KEGG_PATHWAY	hsa05214:Glioma	21	4.838709677419355	1.7008053477918416E-11	P06400, P24385, Q9NZD0, P17252, P48736, Q02750, P27361, P08069, P04049, O00329, P42338, P11802, P42336, Q9UKM3, Q9GZX1, P28482, P01133, P42345, P01116, P01127, P01111	342	65	6879	6.49838056680162	4.132958975056056E-9	1.6531831459332125E-10	2.199636028876739E-8
KEGG_PATHWAY	hsa01100:Metabolic pathways	111	25.57603686635945	1.739527351926452E-11	P12268, P49915, O76062, P14324, Q9NZK7, P52789, P19224, P49419, P47985, Q9NPB1, P47989, P18054, Q14534, P49902, P35354, P04035, Q96P26, O15229, P20839, Q16739, P39877, Q6NVY1, P27338, P08236, Q96E76, Q9UIU8, Q9UD42, Q99868, P35503, P09917, P35504, P22680, Q4VAU1, Q15125, P22309, P43490, P00491, Q641R5, P11217, O00750, P11216, Q9BYZ2, O15296, Q08477, P04054, P20813, O15496, Q13630, Q9BXI3, P10632, Q6ZMR3, P06576, Q5R387, P54855, Q3LXA3, P11926, Q96C23, Q9H2F3, O75310, P16233, P33261, P14679, P14060, O00443, Q9BZM2, P36542, O60656, Q8TCD5, P22310, O75795, Q9UII3, P11712, P05177, O14684, Q9UNK4, Q15392, Q8NEB9, P36537, P15121, Q16880, Q14434, P19113, P08684, Q9Y4X1, P04798, P21589, Q9HAW7, Q6UWM9, Q9HAW9, Q9HAW8, Q06278, Q15738, P27707, Q1HBF9, O75845, Q9Y2Z9, P16662, Q9UDE8, P22830, P12277, Q5T7T7, Q9UBM7, Q06055, Q9B2X7, Q969T7, Q9BY64, P28907, O60760, P22234, Q9HAY6, P21397	342	1219	6879	1.8315487241483528	4.227059702266445E-9	1.6257917234696606E-10	2.24971818951758E-8
