TTDTargetID	Target_Name	Indication	症状	ICD9	ICD10
T00039	mRNA of connective tissue growth factor	Fibrosis	纤维化	709.2	L90.5
T00100	Ubiquitin-activating enzyme	Solid tumours	实体瘤	"140-199, 210-229"	C00-D48
T00140	Arachidonate 5-lipoxygenase	Allergy	过敏	995.3	T78.4
T00140	Arachidonate 5-lipoxygenase	Arthritis	关节炎	710-719	M00-M25
T00140	Arachidonate 5-lipoxygenase	Asthma	哮喘		J45
T00140	Arachidonate 5-lipoxygenase	Atherosclerosis	动脉粥样硬化	"414.0, 440"	I70
T00140	Arachidonate 5-lipoxygenase	Atopic dermatitis	特应性皮炎	"691.8, 692.9"	L00-L99
T00140	Arachidonate 5-lipoxygenase	Chronic obstructive pulmonary disease	慢性阻塞性肺疾病	"490-492, 494-496"	"J40-J44, J47"
T00140	Arachidonate 5-lipoxygenase	Dermatitis	皮炎	692.9	L20-L30
T00140	Arachidonate 5-lipoxygenase	Fungal infections	真菌感染	110-118	B35-B49
T00140	Arachidonate 5-lipoxygenase	Inflammation	炎		"E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, G89"
T00140	Arachidonate 5-lipoxygenase	Inflammatory disease	炎性疾病	"140-229, 147, 173, 573.3, 710-719"	"C11, C44, K75.9, M00-M25"
T00140	Arachidonate 5-lipoxygenase	Lymphatic filariasis	淋巴丝虫病	125	B74
T00140	Arachidonate 5-lipoxygenase	Osteoarthritis	骨关节炎	715	"M15-M19, M47"
T00140	Arachidonate 5-lipoxygenase	Pruritus	瘙痒	698	L29
T00140	Arachidonate 5-lipoxygenase	Psoriasis	银屑病	696	L40
T00140	Arachidonate 5-lipoxygenase	Respiratory disease	呼吸系统疾病		J00-J99
T00140	Arachidonate 5-lipoxygenase	Rheumatoid arthritis	类风湿关节炎	"710-719, 714"	M05-M06
T00140	Arachidonate 5-lipoxygenase	Rhinitis	鼻炎	"472.0, 477"	"J00, J30, J31.0"
T00140	Arachidonate 5-lipoxygenase	Thrombosis	血栓形成	"437.6, 453, 671.5, 671.9"	I80-I82
T00140	Arachidonate 5-lipoxygenase	Unspecified	未指定		
T00176	Ubiquitin-protein ligase E3 Mdm2	Acute myeloid leukemia	急性粒细胞白血病	205	C92.0
T00176	Ubiquitin-protein ligase E3 Mdm2	Cancer	癌症	140-229	C00-C96
T00176	Ubiquitin-protein ligase E3 Mdm2	Hematological malignancies	血液恶性肿瘤	200-209	C81-C86
T00176	Ubiquitin-protein ligase E3 Mdm2	Non-small cell lung cancer; Prostate cancer	非小细胞肺癌；前列腺癌	185	"C33-C34, C61"
T00176	Ubiquitin-protein ligase E3 Mdm2	Solid tumours	实体瘤	"140-199, 210-229"	C00-D48
T00178	Interferon alpha	Systemic lupus erythematosus	系统性红斑狼疮	710	M32
T00238	mRNA of Nuclear factor kappa B	Ulcerative colitis	溃疡性结肠炎	556	K51
T00239	Interleukin-4	Asthma; Pulmonary tuberculosis	哮喘;肺结核		"J45, A15-A19"
T00417	GABA(B) receptor	Anesthesia narcolepsy	麻醉性发作性睡病	"338, 347"	"G47.4, R20.0"
T00417	GABA(B) receptor	Multiple scierosis	多发性硬化	340	G35
T00419	Fast skeletal muscle troponin complex	Muscle fatigue	肌肉疲劳	780.7	R53
T00419	Fast skeletal muscle troponin complex	Muscular atrophy	肌肉萎缩	728.2	M62.5
T00420	HIV REV protein	Human immunodeficiency virus infection	人类免疫缺陷病毒感染	279.3	B20-B26
T00477	Serine Racemase	Neurodegenerations; Epilepsy; Neuropathic pain; Drug addiction; Schizophrenia	神经变性；癫痫;神经性疼痛;吸毒成瘾；精神分裂症	"295, 303-304, 330-337, 338, 345, 356.0, 356.8,780"	"F10-F19, F20, G30-G32, G40, G64, G90.0, R52, G89"
T00484	Interleukin-23 receptor	Autoimmune diabetes	自身免疫性糖尿病		E08-E13
T00484	Interleukin-23 receptor	Cancer	癌症	140-229	C00-C96
T00484	Interleukin-23 receptor	Inflammatory bowel disease	炎症性肠病	"555, 556"	"K50, K51"
T00484	Interleukin-23 receptor	Inflammatory disease	炎性疾病	"140-229, 147, 173, 573.3, 710-719"	"C11, C44, K75.9, M00-M25"
T00494	"ATP-binding cassette, sub-family A, member 1"	Coronary artery disease	冠状动脉疾病	"410-414, 429.2"	I20-I25
T00494	"ATP-binding cassette, sub-family A, member 1"	Dyslipidaemias	血脂异常	272	E78
T00494	"ATP-binding cassette, sub-family A, member 1"	Lipid metabolism disorder	脂质代谢异常		E75-E78
T00523	Urate transporter	Hyperuricosuria	尿酸尿过多		E79
T00663	Mitogen-activated protein kinase 10	Central nervous system injury	中枢神经系统损伤		P11.9
T00750	Galactoside 3(4)-L-fucosyltransferase	Fallopian tube cancer	输卵管癌		"C57.0, D28.2"
T00864	Nicotinic acid receptor 1	Acute ischemic stroke	急性缺血性中风	434.91	I61-I63
T00864	Nicotinic acid receptor 1	Arteriosclerosis	动脉硬化	440	I70
T00864	Nicotinic acid receptor 1	Atherosclerosis	动脉粥样硬化	"414.0, 440"	I70
T00864	Nicotinic acid receptor 1	Cardiovascular disorder	心血管疾病		I00-I99
T00864	Nicotinic acid receptor 1	Hyperlipidaemia	高脂血症	272.0-272.4	E78
T00864	Nicotinic acid receptor 1	Major depressive disorder	严重抑郁症	"296.2, 296.3, 710.0"	"F32, F33, M32"
T00864	Nicotinic acid receptor 1	Type 2 diabetes	2型糖尿病	250	E11
T00895	"Protein kinase C, epsilon type"	Ischemic reperfusion injury	缺血再灌注损伤		I00-I99
T00938	DHICA oxidase	Melanoma	黑色素瘤	172	C43
T00972	HIV envelopeglycoprotein gp120	Human immunodeficiency virus infection	人类免疫缺陷病毒感染	279.3	B20-B26
T00972	HIV envelopeglycoprotein gp120	Unspecified	未指定		
T01110	Colony stimulating factor-1 receptor (CSF-1R)	Autoimmune diabetes	自身免疫性糖尿病		E08-E13
T01110	Colony stimulating factor-1 receptor (CSF-1R)	Bone metastases	骨转移	198.5	C79.51
T01110	Colony stimulating factor-1 receptor (CSF-1R)	Cancer	癌症	140-229	C00-C96
T01110	Colony stimulating factor-1 receptor (CSF-1R)	Hodgkin's lymphoma	霍奇金淋巴瘤		C81
T01110	Colony stimulating factor-1 receptor (CSF-1R)	Rheumatoid arthritis	类风湿关节炎	"710-719, 714"	M05-M06
T01110	Colony stimulating factor-1 receptor (CSF-1R)	Solid tumours	实体瘤	"140-199, 210-229"	C00-D48
T01141	MicroRNA miR-191	Hepatocellular carcinoma	肝细胞癌	155	C22.0
T01232	Stem or T cell	Congestive heart failure	充血性心力衰竭	428	I50
T01232	Stem or T cell	Insulin dependent diabetes	胰岛素依赖型糖尿病		E10
T01280	beta-site APP-cleaving enzyme 2	Focal segmental glomerulosclerosis	局灶性节段性肾小球硬化		N00-N08
T01283	Tumor susceptibility gene protein 101	Influenza virus	流感病毒		J11.1
T01318	"Dihydroorotate dehydrogenase, mitochondrial"	Fungal infections	真菌感染	110-118	B35-B49
T01318	"Dihydroorotate dehydrogenase, mitochondrial"	Malaria	疟疾		B54
T01318	"Dihydroorotate dehydrogenase, mitochondrial"	Multiple scierosis; Active rheumatoid arthritis	多发性硬化症；活动性类风湿关节炎	"340, 714"	"G35, M05, M06"
T01358	DNA damage in cancer cell	Breast cancer	乳腺癌	"174, 175"	C50
T01447	NEDD8-activating enzyme	Advanced malignancies	晚期恶性肿瘤	140-229	C00-C96
T01575	Sphingosine 1 phosphate lyase 1	Autoimmune diabetes	自身免疫性糖尿病		E08-E13
T01575	Sphingosine 1 phosphate lyase 1	Rheumatoid arthritis	类风湿关节炎	"710-719, 714"	M05-M06
T01777	Alpha-2C adrenergic receptor	Alcohol use disorders	饮酒障碍	303	F10.2
T01777	Alpha-2C adrenergic receptor	Allergic rhinitis	过敏性鼻炎	"472.0, 477, 995.3"	"J00, J30, J31.0, T78.4"
T01777	Alpha-2C adrenergic receptor	Alzheimer disease	老年痴呆症	331	G30
T01777	Alpha-2C adrenergic receptor	Asthma	哮喘		J45
T01777	Alpha-2C adrenergic receptor	Contusion	挫伤		S36.220S
T01777	Alpha-2C adrenergic receptor	Depression	萧条	311	F30-F39
T01777	Alpha-2C adrenergic receptor	Diabetic nephropathy; Fibromyalgia	糖尿病肾病；纤维肌痛	"250.4, 729.1"	"E11.21, M79.7"
T01777	Alpha-2C adrenergic receptor	Erythema	红斑	695	L51-L54
T01777	Alpha-2C adrenergic receptor	Glaucoma	青光眼	365	H40-H42
T01777	Alpha-2C adrenergic receptor	Heart failure	心脏衰竭	428	I50
T01777	Alpha-2C adrenergic receptor	Hypertension	高血压	401	I10-I16
T01777	Alpha-2C adrenergic receptor	Hypotension	低血压	"458, 796.3"	I95
T01777	Alpha-2C adrenergic receptor	Male sexual disorders	男性性疾病		F52
T01777	Alpha-2C adrenergic receptor	Neurological disease	神经系统疾病	"338, 338.2, 410, 782.3,780"	"I21, I22, R52, R52.1-R52.2, R60.9, G89"
T01777	Alpha-2C adrenergic receptor	Obesity	肥胖	278	E66
T01777	Alpha-2C adrenergic receptor	Ocular disease	眼病		H00-H59
T01777	Alpha-2C adrenergic receptor	Ocular hypertension	高眼压症	365.04	H40.0
T01777	Alpha-2C adrenergic receptor	Pain	疼痛	"338, 356.0, 356.8,780"	"G64, G90.0, R52, G89"
T01777	Alpha-2C adrenergic receptor	Peptic ulcer	消化性溃疡	531-534	K25-K27
T01777	Alpha-2C adrenergic receptor	Poison intoxication	剧毒		T36-T50
T01822	Heme	Malaria	疟疾		B54
T01840	protease	Alpha-1 antitrypsin deficiency	Alpha-1抗胰蛋白酶缺乏症	273.4	E88.0
T01840	protease	Alzheimer disease	老年痴呆症	331	G30
T01840	protease	Cancer	癌症	140-229	C00-C96
T01840	protease	Chronic obstructive pulmonary disease	慢性阻塞性肺疾病	"490-492, 494-496"	"J40-J44, J47"
T01840	protease	Coagulation	凝结		I80-I82
T01840	protease	Cystic fibrosis	囊性纤维化	277	E84
T01840	protease	Rheumatoid arthritis	类风湿关节炎	"710-719, 714"	M05-M06
T01851	Integrin beta-1	Non-small cell lung cancer	非小细胞肺癌		C33-C34
T01865	Hexose transporter 1	Infection of P. falciparum 	恶性疟原虫的感染	84	B50-B54
T01908	Tissue kallikrein	Atopic dermatitis	特应性皮炎	"691.8, 692.9"	L00-L99
T01973	RON	Cancer	癌症	140-229	C00-C96
T01973	RON	Solid tumours	实体瘤	"140-199, 210-229"	C00-D48
T02119	Arylsulfatase B	Mucopolysaccharidosis VI	黏多糖贮积症VI	277.5	E76.2
T02134	Glutamate--cysteine ligase regulatorysubunit	Cancer; Malaria	癌症;疟疾	140-229	"C00-C96, B54"
T02221	Nucleoside DNA polymerase	Cytomegalovirus infection	巨细胞病毒感染		B25
T02246	Iron	Acute iron or aluminum toxicity	急性铁或铝毒性		T56
T02246	Iron	Anemia	贫血	280-285	D50-D64
T02246	Iron	Cardiovascular disorder	心血管疾病		I00-I99
T02246	Iron	Iron deficiency anaemia	缺铁性贫血		D50
T02246	Iron	Iron overload	铁过载		R79.0
T02246	Iron	Transfusional iron overload due to thalassaemia syndromes	地中海贫血综合征导致的输血铁超负荷	275.03	R79.0
T02253	Cholinergic activityy	Cognitive disorders	认知障碍	"290-294, 294.0, 780.09, 780.9, 780.93"	"F01-F07, F04, F05, R41.3"
T02258	DNA-directed DNA polymerase	Cancer	癌症	140-229	C00-C96
T02318	Tumor necrosis factor ligand superfamily member 13B	Lymphoma	淋巴瘤	"202.8, 208.9"	C81-C86
T02318	Tumor necrosis factor ligand superfamily member 13B	Multiple myeloma	多发性骨髓瘤	203	C90
T02318	Tumor necrosis factor ligand superfamily member 13B	Rheumatold arthritis; Idiopathic thrombocytopenic purpura	类风湿关节炎；特发性血小板减少性紫癜	"287.31, 710-719, 714"	"D69.3, M00-M25, M05-M06"
T02318	Tumor necrosis factor ligand superfamily member 13B	Systemic lupus erythematosus	系统性红斑狼疮	710	M32
T02333	Growth hormone receptor	Acromegaly	肢端肥大症	253	E22.0
T02333	Growth hormone receptor	Dwarfism	侏儒症		"E23.0, E34.2, E45.0, Q77.4"
T02333	Growth hormone receptor	Eating disorder	饮食失调	"278, 307.5, 401, 428.0"	"E66, F50, I10-I16, I50"
