SUID,@id,Betweenness,Closeness,Degree,Eigenvector,Information,LAC,name,Network,selected,shared name,stringdb::canonical name,stringdb::full name,Subgragh,
275,stringdb:9606.ENSP00000269305,12697.52097,0.064316271,201,0.168735385,9.222890854,43.27363184,9606.ENSP00000269305,167.9785331,FALSE,9606.ENSP00000269305,Q9NZD0,,9.36E+27,1
294,stringdb:9606.ENSP00000263025,5115.339998,0.063779988,157,0.152044162,9.1076231,44.50955414,9606.ENSP00000263025,115.837084,FALSE,9606.ENSP00000263025,P27361,,7.60E+27,0.769174529
121,stringdb:9606.ENSP00000398698,4842.801719,0.063826673,159,0.151790529,9.114157677,45.06918239,9606.ENSP00000398698,123.7741712,FALSE,9606.ENSP00000398698,P01375,,7.58E+27,0.766101796
438,stringdb:9606.ENSP00000311032,4431.771443,0.06377066,161,0.155088976,9.120549202,45.85093168,9606.ENSP00000311032,126.1894905,FALSE,9606.ENSP00000311032,P42574,,7.91E+27,0.765165918
270,stringdb:9606.ENSP00000360266,3921.981595,0.063779988,151,0.150637805,9.087034225,45.81456954,9606.ENSP00000360266,115.2298672,FALSE,9606.ENSP00000360266,P05412,,7.46E+27,0.736132277
305,stringdb:9606.ENSP00000275493,5242.25596,0.063696129,144,0.137613416,9.061006546,40.81944444,9606.ENSP00000275493,102.0680899,FALSE,9606.ENSP00000275493,Q9GZX1,,6.23E+27,0.733797507
384,stringdb:9606.ENSP00000241052,7573.170693,0.063686824,133,0.113750897,9.014976501,33.38345865,9606.ENSP00000241052,82.98161641,FALSE,9606.ENSP00000241052,P04040,,4.25E+27,0.730617915
329,stringdb:9606.ENSP00000356438,6169.658447,0.063510561,134,0.131626129,9.019445419,42.28358209,9606.ENSP00000356438,94.40230612,FALSE,9606.ENSP00000356438,P35354,,5.70E+27,0.730027082
259,stringdb:9606.ENSP00000215832,4077.183518,0.063677523,143,0.143216267,9.057096481,43.67832168,9606.ENSP00000215832,100.3062551,FALSE,9606.ENSP00000215832,P28482,,6.74E+27,0.71784367
278,stringdb:9606.ENSP00000307786,5886.051385,0.063492063,125,0.112218171,8.976799965,34.432,9606.ENSP00000307786,82.44703162,FALSE,9606.ENSP00000307786,P99999,,4.14E+27,0.684422226
173,stringdb:9606.ENSP00000265171,3688.747668,0.063501311,130,0.133799821,9.001174927,42.98461538,9606.ENSP00000265171,90.82085951,FALSE,9606.ENSP00000265171,P01133,,5.89E+27,0.679390205
474,stringdb:9606.ENSP00000264657,2351.834999,0.063575386,137,0.144838706,9.032503128,47.24087591,9606.ENSP00000264657,104.2240757,FALSE,9606.ENSP00000264657,P40763,,6.90E+27,0.678417611
176,stringdb:9606.ENSP00000354558,2785.88106,0.063510561,122,0.124377549,8.961303711,41.18032787,9606.ENSP00000354558,84.29862213,FALSE,9606.ENSP00000354558,P42345,,5.09E+27,0.637739346
