shared name	stringdb::canonical name
9606.ENSP00000296871	P04141
9606.ENSP00000248553	Q9UC36
9606.ENSP00000389948	Q969T7
9606.ENSP00000365858	P15976
9606.ENSP00000416293	P11166
9606.ENSP00000251849	P04049
9606.ENSP00000176183	A0A0G2JM26
9606.ENSP00000259206	P18510
9606.ENSP00000251968	Q99816
9606.ENSP00000387888	Q9Y4X1
9606.ENSP00000216962	P11216
9606.ENSP00000372023	Q9HCQ8
9606.ENSP00000373477	P22352
9606.ENSP00000003084	P13569
9606.ENSP00000302393	Q9BYZ2
9606.ENSP00000306512	Q9UCR9
9606.ENSP00000306991	Q92819
9606.ENSP00000211287	O15264
9606.ENSP00000233057	P19525
9606.ENSP00000256078	P01116
9606.ENSP00000362361	P50750
9606.ENSP00000260682	P11712
9606.ENSP00000383042	Q96AW4
9606.ENSP00000308925	Q9BXR5
9606.ENSP00000371067	O60674
9606.ENSP00000353731	P27487
9606.ENSP00000263955	O94768
9606.ENSP00000303394	Q12988
9606.ENSP00000343925	Q92731
9606.ENSP00000247001	Q8IWZ8
9606.ENSP00000349595	O14983
9606.ENSP00000212015	Q96EB6
9606.ENSP00000354932	Q15399
9606.ENSP00000263923	P35968
9606.ENSP00000314132	Q9UMX3
9606.ENSP00000005286	Q24JP5
9606.ENSP00000296545	P40933
9606.ENSP00000420588	Q00059
9606.ENSP00000227507	P24385
9606.ENSP00000268035	P08069
9606.ENSP00000215659	P53778
9606.ENSP00000384273	Q04206
9606.ENSP00000387662	P01275
9606.ENSP00000320935	P14672
9606.ENSP00000263817	O95342
9606.ENSP00000226444	P49888
9606.ENSP00000372191	Q9NTG7
9606.ENSP00000391826	Q9UC68
9606.ENSP00000345096	P20839
9606.ENSP00000302486	Q02750
9606.ENSP00000329967	Q9UHD2
9606.ENSP00000303211	Q53F46
9606.ENSP00000264832	P05362
9606.ENSP00000259254	P04921
9606.ENSP00000303208	Q8NBP7
9606.ENSP00000258168	Q9HAY6
9606.ENSP00000351407	P27540
9606.ENSP00000353820	P10635
9606.ENSP00000398698	P01375
9606.ENSP00000350314	Q9BYV7
9606.ENSP00000377878	Q06055
9606.ENSP00000226574	P19838
9606.ENSP00000417052	Q15125
9606.ENSP00000301146	P20853
9606.ENSP00000304895	P35568
9606.ENSP00000301141	Q4VAU1
9606.ENSP00000251535	P18054
9606.ENSP00000367851	P04839
9606.ENSP00000387683	O75310
9606.ENSP00000261693	Q8WTV0
9606.ENSP00000407375	P07203
9606.ENSP00000378733	Q53QV2
9606.ENSP00000316786	Q9UC51
9606.ENSP00000317997	Q9NRD9
9606.ENSP00000311095	Q02928
9606.ENSP00000379701	Q14541
9606.ENSP00000441691	P11215
9606.ENSP00000295400	Q9UKM3
9606.ENSP00000312029	P55851
9606.ENSP00000358022	Q9UHR8
9606.ENSP00000301178	P30530
9606.ENSP00000305899	Q9H022
9606.ENSP00000305651	P02778
9606.ENSP00000304440	O00219
9606.ENSP00000337691	Q8TD08
9606.ENSP00000337332	Q9NRC7
9606.ENSP00000374265	P18283
9606.ENSP00000408695	P17252
9606.ENSP00000334186	Q96DN2
9606.ENSP00000263967	P42336
9606.ENSP00000287936	P04035
9606.ENSP00000362057	Q9Y5S8
9606.ENSP00000369927	Q9UII3
9606.ENSP00000296503	P26583
9606.ENSP00000216797	P25963
9606.ENSP00000220809	Q9BU99
9606.ENSP00000352706	Q6NVY1
9606.ENSP00000387462	Q96DT7
9606.ENSP00000364243	Q9BZM2
9606.ENSP00000318822	P55957
9606.ENSP00000337446	Q14849
9606.ENSP00000312286	P04054
9606.ENSP00000355893	Q6XR72
9606.ENSP00000306245	P01100
9606.ENSP00000364802	P0DMV8
9606.ENSP00000382595	P22234
9606.ENSP00000309757	P06858
9606.ENSP00000362508	P22310
9606.ENSP00000360683	P18031
9606.ENSP00000363832	Q06278
9606.ENSP00000265171	P01133
9606.ENSP00000308541	Q9UCA1
9606.ENSP00000373518	Q96PJ9
9606.ENSP00000354558	P42345
9606.ENSP00000354554	Q9B2X7
9606.ENSP00000282507	Q3SY77
9606.ENSP00000222553	P43490
9606.ENSP00000299198	P12277
9606.ENSP00000222330	P49840
9606.ENSP00000222572	Q86YL0
9606.ENSP00000202967	Q9Y6E7
9606.ENSP00000382342	Q9UQ99
9606.ENSP00000245552	Q8TCD5
9606.ENSP00000332407	Q8WUS8
9606.ENSP00000235628	Q9BXI3
9606.ENSP00000343535	Q93009
9606.ENSP00000362513	P35504
9606.ENSP00000361423	P00519
9606.ENSP00000398803	Q13630
9606.ENSP00000317272	P08581
9606.ENSP00000355517	O15229
9606.ENSP00000355759	P09874
9606.ENSP00000330237	Q9UEQ3
9606.ENSP00000370253	Q99801
9606.ENSP00000225831	P13500
9606.ENSP00000221130	P00390
9606.ENSP00000351273	Q96T22
9606.ENSP00000352121	P48736
9606.ENSP00000362525	Q9HAW7
9606.ENSP00000454071	Q53ZD9
9606.ENSP00000164139	P11217
9606.ENSP00000295600	Q9P2Y8
9606.ENSP00000256797	Q76MJ5
9606.ENSP00000349078	P14324
9606.ENSP00000329466	Q9NRC8
9606.ENSP00000372326	P22830
9606.ENSP00000233242	Q13787
9606.ENSP00000257770	P21589
9606.ENSP00000368079	Q6ZWL3
9606.ENSP00000320401	O75795
9606.ENSP00000400895	Q3ZCN5
9606.ENSP00000256442	P14635
9606.ENSP00000319788	P15559
9606.ENSP00000354532	P00491
9606.ENSP00000354652	P25929
9606.ENSP00000247992	Q5R387
9606.ENSP00000363868	Q9UN09
9606.ENSP00000342307	Q08050
9606.ENSP00000411532	Q9UQP9
9606.ENSP00000287295	Q5JUZ7
9606.ENSP00000329117	Q5JTC6
9606.ENSP00000329357	P08047
9606.ENSP00000215812	Q9UDX4
9606.ENSP00000253063	P58004
9606.ENSP00000458537	P40313
9606.ENSP00000290573	P52789
9606.ENSP00000242057	P35869
9606.ENSP00000369050	P04798
9606.ENSP00000354522	Q9UJN0
9606.ENSP00000303174	P19224
9606.ENSP00000362549	Q9HAW9
9606.ENSP00000417901	Q9NQX3
9606.ENSP00000333946	Q9Y2Z9
9606.ENSP00000363512	P09917
9606.ENSP00000237612	Q9UNQ0
9606.ENSP00000343741	Q13535
9606.ENSP00000234111	P11926
9606.ENSP00000256383	P05198
9606.ENSP00000285930	P15121
9606.ENSP00000401445	O75460
9606.ENSP00000436812	Q9HC84
9606.ENSP00000359022	Q9HB03
9606.ENSP00000355968	Q9Y6M5
9606.ENSP00000373674	Q9NPB1
9606.ENSP00000219070	P08253
9606.ENSP00000279263	O76062
9606.ENSP00000261845	Q16659
9606.ENSP00000222115	Q92839
9606.ENSP00000354995	Q9BXL1
9606.ENSP00000226730	P60568
9606.ENSP00000411593	P23415
9606.ENSP00000267163	P06400
9606.ENSP00000383234	P31152
9606.ENSP00000402515	Q96Q15
9606.ENSP00000360372	P33261
9606.ENSP00000305221	Q1HBF9
9606.ENSP00000215832	P28482
9606.ENSP00000355718	O00548
9606.ENSP00000155840	Q9UMN9
9606.ENSP00000260645	Q9H222
9606.ENSP00000222381	P27169
9606.ENSP00000261707	P31645
9606.ENSP00000222382	Q9HB55
9606.ENSP00000333926	Q9UNP5
9606.ENSP00000348069	Q6PJ36
9606.ENSP00000362441	Q7Z2J1
9606.ENSP00000294954	P22888
9606.ENSP00000360266	P05412
9606.ENSP00000360025	P24522
9606.ENSP00000215727	P05546
9606.ENSP00000362570	Q8NAU1
9606.ENSP00000354612	Q5T7T7
9606.ENSP00000269305	Q9NZD0
9606.ENSP00000339479	P49902
9606.ENSP00000327251	Q9UD42
9606.ENSP00000307786	P99999
9606.ENSP00000348170	Q9UC67
9606.ENSP00000307305	Q9NX09
9606.ENSP00000343838	Q9HAW8
9606.ENSP00000003100	Q99868
9606.ENSP00000349142	P36542
9606.ENSP00000331736	P16581
9606.ENSP00000386520	Q9Y4B4
9606.ENSP00000386884	P61073
9606.ENSP00000289153	P42338
9606.ENSP00000340684	P21397
9606.ENSP00000359297	Q15738
9606.ENSP00000352540	P54851
9606.ENSP00000360968	Q8N118
9606.ENSP00000302961	P34932
9606.ENSP00000370648	Q9HBH5
9606.ENSP00000263025	P27361
9606.ENSP00000350911	P14091
9606.ENSP00000370408	Q99626
9606.ENSP00000251170	O43304
9606.ENSP00000414303	Q9BYY7
9606.ENSP00000274278	Q6NUS8
9606.ENSP00000354394	Q9UDL5
9606.ENSP00000265462	Q9UJU4
9606.ENSP00000345681	P23769
9606.ENSP00000264005	P04180
9606.ENSP00000346768	O60656
9606.ENSP00000275493	Q9GZX1
9606.ENSP00000412237	P22301
9606.ENSP00000445175	Q9UDE8
9606.ENSP00000312988	Q15653
9606.ENSP00000256958	Q9Y6L6
9606.ENSP00000159060	Q9HBY0
9606.ENSP00000355231	Q14457
9606.ENSP00000280706	Q6ZMR3
9606.ENSP00000241261	P50591
9606.ENSP00000382770	A8MYU2
9606.ENSP00000312987	Q6B4V6
9606.ENSP00000262283	Q02509
9606.ENSP00000303830	P06213
9606.ENSP00000231454	P05113
9606.ENSP00000309132	Q9BZR8
9606.ENSP00000321584	P12268
9606.ENSP00000344456	P35222
9606.ENSP00000341189	Q05397
9606.ENSP00000322788	P03956
9606.ENSP00000262039	Q8NEB9
9606.ENSP00000304915	P35225
9606.ENSP00000263368	P30043
9606.ENSP00000301645	P22680
9606.ENSP00000277541	P46531
9606.ENSP00000356438	P35354
9606.ENSP00000267845	P19113
9606.ENSP00000370421	P52945
9606.ENSP00000278616	Q13315
9606.ENSP00000276431	O14763
9606.ENSP00000337915	P08684
9606.ENSP00000360991	P13584
9606.ENSP00000252486	P02649
9606.ENSP00000262291	Q96GC9
9606.ENSP00000441828	P00739
9606.ENSP00000324856	Q15831
9606.ENSP00000302728	P08236
9606.ENSP00000302846	P35408
9606.ENSP00000347717	Q9UBM7
9606.ENSP00000301633	H3BLT4
9606.ENSP00000333685	Q2XNF2
9606.ENSP00000355330	P21980
9606.ENSP00000283916	O60235
9606.ENSP00000330393	P48357
9606.ENSP00000380252	Q16236
9606.ENSP00000341045	P54855
9606.ENSP00000361850	P00749
9606.ENSP00000342385	O14684
9606.ENSP00000221307	Q08477
9606.ENSP00000341170	P21246
9606.ENSP00000297494	Q14434
9606.ENSP00000354476	Q12772
9606.ENSP00000359424	O15111
9606.ENSP00000311648	Q16880
9606.ENSP00000356530	Q05823
9606.ENSP00000328088	Q96IZ0
9606.ENSP00000219244	Q92583
9606.ENSP00000286186	Q9Y2U7
9606.ENSP00000342007	P05177
9606.ENSP00000171111	Q14145
9606.ENSP00000306397	P47985
9606.ENSP00000380247	P35367
9606.ENSP00000366084	O15439
9606.ENSP00000320239	Q96QT4
9606.ENSP00000396704	Q02880
9606.ENSP00000332679	Q16696
9606.ENSP00000362608	P11309
9606.ENSP00000354581	P59796
9606.ENSP00000202816	Q9H501
9606.ENSP00000309572	O14746
9606.ENSP00000264381	P06276
9606.ENSP00000450980	A0A0A0MTQ2
9606.ENSP00000287139	Q96S42
9606.ENSP00000346839	H0Y4K8
9606.ENSP00000324806	P49841
9606.ENSP00000269703	Q6NT55
9606.ENSP00000360316	Q15392
9606.ENSP00000361405	P14780
9606.ENSP00000360317	P10632
9606.ENSP00000330382	P01127
9606.ENSP00000241052	P04040
9606.ENSP00000231004	P28300
9606.ENSP00000363822	P10275
9606.ENSP00000232217	P50120
9606.ENSP00000256646	Q04721
9606.ENSP00000384863	O14980
9606.ENSP00000289547	Q9UHC9
9606.ENSP00000264027	O75845
9606.ENSP00000355657	Q16695
9606.ENSP00000370473	P17936
9606.ENSP00000251566	Q6UWM9
9606.ENSP00000379500	Q8IX04
9606.ENSP00000225275	P05164
9606.ENSP00000223095	P05121
9606.ENSP00000364246	Q9UNK4
9606.ENSP00000363397	Q16739
9606.ENSP00000368727	P47989
9606.ENSP00000302564	Q07817
9606.ENSP00000364249	P39877
9606.ENSP00000261366	P20700
9606.ENSP00000303525	Q8N4T8
9606.ENSP00000398495	Q9NR28
9606.ENSP00000272252	Q96C23
9606.ENSP00000388566	Q7KYX7
9606.ENSP00000364257	Q9NZK7
9606.ENSP00000448165	Q9UJ65
9606.ENSP00000237014	P02766
9606.ENSP00000366563	O00329
9606.ENSP00000262340	Q16518
9606.ENSP00000262461	P55011
9606.ENSP00000304845	P22309
9606.ENSP00000387123	P49419
9606.ENSP00000265970	O00443
9606.ENSP00000344192	Q16552
9606.ENSP00000334276	Q9BY64
9606.ENSP00000263317	Q9NPH5
9606.ENSP00000253727	P55055
9606.ENSP00000358223	P16233
9606.ENSP00000225174	P30405
9606.ENSP00000351947	Q9H4L7
9606.ENSP00000381607	P09211
9606.ENSP00000260010	O60603
9606.ENSP00000334145	P13726
9606.ENSP00000286648	P27707
9606.ENSP00000297350	O00300
9606.ENSP00000226279	P28907
9606.ENSP00000356155	O00750
9606.ENSP00000367309	P27338
9606.ENSP00000300035	Q15004
9606.ENSP00000216117	P09601
9606.ENSP00000352904	Q96P26
9606.ENSP00000368884	P51812
9606.ENSP00000406861	Q6W4X9
9606.ENSP00000358327	Q96BA0
9606.ENSP00000311032	P42574
9606.ENSP00000257904	P11802
9606.ENSP00000293288	Q9UCZ6
9606.ENSP00000417229	Q9BY44
9606.ENSP00000345494	O15162
9606.ENSP00000346103	P36969
9606.ENSP00000265403	P36537
9606.ENSP00000365380	Q9BZS1
9606.ENSP00000263341	P01584
9606.ENSP00000304811	P16662
9606.ENSP00000221700	Q9UIU8
9606.ENSP00000313420	Q9UME3
9606.ENSP00000393847	O15496
9606.ENSP00000376268	Q92503
9606.ENSP00000334246	Q86W10
9606.ENSP00000272190	P00797
9606.ENSP00000255858	Q9UDX3
9606.ENSP00000249396	U5TP13
9606.ENSP00000311005	Q13164
9606.ENSP00000336528	Q9UJ26
9606.ENSP00000262030	P06576
9606.ENSP00000346693	Q9NXB9
9606.ENSP00000363089	Q5VZI8
9606.ENSP00000265896	Q14534
9606.ENSP00000378699	P06493
9606.ENSP00000267953	Q16548
9606.ENSP00000311492	Q2M1V0
9606.ENSP00000358548	P01111
9606.ENSP00000427562	Q6NZY6
9606.ENSP00000458075	H3BVE0
9606.ENSP00000358421	P14060
9606.ENSP00000418532	P35503
9606.ENSP00000272286	Q9H221
9606.ENSP00000320171	Q96E76
9606.ENSP00000369757	P62753
9606.ENSP00000231656	P47902
9606.ENSP00000264657	P40763
9606.ENSP00000263321	P14679
9606.ENSP00000324648	P20813
9606.ENSP00000241453	P36888
9606.ENSP00000297792	Q8NB78
9606.ENSP00000242786	P48960
9606.ENSP00000296585	P17301
9606.ENSP00000378360	Q3LXA3
9606.ENSP00000360958	Q5TCH4
9606.ENSP00000216392	Q641R5
9606.ENSP00000295256	O60760
9606.ENSP00000297679	Q9H2F3
9606.ENSP00000299855	P08254
9606.ENSP00000266970	P24941
9606.ENSP00000419970	P16435
9606.ENSP00000346671	P06241
9606.ENSP00000419851	P49915
9606.ENSP00000216037	P17861
9606.ENSP00000264668	Q9UBK8
9606.ENSP00000323568	P11168
9606.ENSP00000369530	O15296
9606.ENSP00000264784	Q9NRM0
9606.ENSP00000368683	P05305
9606.ENSP00000075120	P11169
